filename;kkn;yon
ladybug_19027046_20211003_100611-000000;34-12;1
ladybug_19027046_20211003_105122-000000;34-25;1
ladybug_19027046_20211003_110043-000000;34-25;2
ladybug_19027046_20211003_110216-000000;34-25;2
ladybug_19027046_20211003_115301-000000;O-7/25;1
ladybug_19027046_20211003_120059-000000;O-7/26;1
ladybug_19027046_20211003_120346-000000;O-7/26;1
ladybug_19027046_20211003_123232-000000;O-7/32;1
ladybug_19027046_20211003_135729-000000;O-7/33;2
ladybug_19027046_20211003_144657-000000;O-7/25;2
ladybug_19027046_20211003_160742-000000;O-4/01;2
ladybug_19027046_20211003_135729-000000;O-7/27;2
ladybug_19027046_20211003_120346-000000;O-7/28;1
ladybug_19027046_20211003_135729-000000;O-7/26;2
ladybug_19027046_20211003_120346-000000;O-7/27;1
ladybug_19027046_20211003_100611-000000;O-4/01;1
ladybug_19027046_20211003_160742-000000;34-12;2
ladybug_19027046_20211003_123232-000000;O-7/33;1
ladybug_19027046_20211003_135729-000000;O-7/32;2
ladybug_19027046_20211003_120346-000000;O-7/31;1
ladybug_19027046_20211003_135729-000000;O-7/30;2
ladybug_19027046_20211003_120346-000000;O-7/30;1
ladybug_19027046_20211003_135729-000000;O-7/29;2
ladybug_19027046_20211003_135729-000000;O-7/28;2
ladybug_19027046_20211003_120346-000000;O-7/29;1
